key_tools-groups-yes,key_tools-groups-maybe,key_tools-ranks-yes-bash,key_tools-ranks-yes-version_control_git,key_tools-ranks-yes-choosing_text_editor,key_tools-ranks-maybe-bash,key_tools-ranks-maybe-version_control_git,key_tools-ranks-maybe-choosing_text_editor,languages-groups-yes,languages-groups-maybe,languages-ranks-yes-r,languages-ranks-yes-python,languages-ranks-yes-matlab,languages-ranks-yes-javascript,languages-ranks-yes-java,languages-ranks-yes-julia,languages-ranks-yes-c,languages-ranks-yes-fortran,languages-ranks-maybe-r,languages-ranks-maybe-python,languages-ranks-maybe-matlab,languages-ranks-maybe-javascript,languages-ranks-maybe-java,languages-ranks-maybe-julia,languages-ranks-maybe-c,languages-ranks-maybe-fortran,practices-groups-yes,practices-groups-maybe,practices-ranks-yes-visualization,practices-ranks-yes-reproducible,practices-ranks-yes-testing,practices-ranks-yes-continuous_integration,practices-ranks-yes-programming_paradigms,practices-ranks-yes-object_oriented,practices-ranks-yes-data_modes,practices-ranks-yes-gpu,practices-ranks-yes-bear_batch,practices-ranks-yes-api_driven_development,practices-ranks-yes-fast_databases,practices-ranks-maybe-visualization,practices-ranks-maybe-reproducible,practices-ranks-maybe-testing,practices-ranks-maybe-continuous_integration,practices-ranks-maybe-programming_paradigms,practices-ranks-maybe-object_oriented,practices-ranks-maybe-data_modes,practices-ranks-maybe-gpu,practices-ranks-maybe-bear_batch,practices-ranks-maybe-api_driven_development,practices-ranks-maybe-fast_databases,libraries-groups-yes,libraries-groups-maybe,libraries-ranks-yes-data.table,libraries-ranks-yes-statistics,libraries-ranks-yes-react.js,libraries-ranks-yes-numpy,libraries-ranks-yes-electron,libraries-ranks-yes-pandas,libraries-ranks-maybe-data.table,libraries-ranks-maybe-statistics,libraries-ranks-maybe-react.js,libraries-ranks-maybe-numpy,libraries-ranks-maybe-electron,libraries-ranks-maybe-pandas,tools-groups-yes,tools-groups-maybe,tools-ranks-yes-vim,tools-ranks-yes-emacs,tools-ranks-yes-pandoc,tools-ranks-yes-docker,tools-ranks-yes-comparing_vc_software,tools-ranks-yes-node.js,tools-ranks-yes-MEAN_software_stack,tools-ranks-yes-django,tools-ranks-maybe-vim,tools-ranks-maybe-emacs,tools-ranks-maybe-pandoc,tools-ranks-maybe-docker,tools-ranks-maybe-comparing_vc_software,tools-ranks-maybe-node.js,tools-ranks-maybe-MEAN_software_stack,tools-ranks-maybe-django,category-key_tools,category-languages,category-practices,category-libraries,category-tools
The Bash Shell,Choosing a text editor,1,,,,,1,"Matlab,R","Java,Javascript,C,Python",2,,1,,,,,,,4,,2,1,,3,,"Data Visualization,Running batch jobs on BlueBEAR,Code testing / test driven development,Different modes of data and how to handle them",GPU programming,1,,3,,,,4,,2,,,,,,,,,,1,,,,"The data.table library for R,Statistics libraries",,1,2,,,,,,,,,,,"Docker containers (computing environments),Vim (text editor)",,2,,,1,,,,,,,,,,,,,4,3,1,5,2
"Version Control / Git,Choosing a text editor",The Bash Shell,,1,2,1,,,"Python,Javascript,R,Java,C","Matlab,Julia (new language for numerical computing),Fortran",3,1,,2,4,,5,,,,1,,,2,,3,"Reproducible research,Fast databases (MongoDB, NoSQL databases),Code testing / test driven development,Continuous integration (automated code testing),GPU programming,Data Visualization,Different modes of data and how to handle them","Object oriented programming,Running batch jobs on BlueBEAR,Programming paradigms (e.g object oriented, functional),API driven development",6,1,3,4,,,7,5,,,2,,,,,3,1,,,2,4,,"Numpy (Python numerics),Statistics libraries,React.js (Javascript, web user interfaces),Electron (Javascript, desktop apps),Pandas (data science in Python)",The data.table library for R,,2,3,1,4,5,1,,,,,,"Django (Python framework for dynamic websites),Docker containers (computing environments),MEAN software stack (Javascript framework for dynamic websites),Comparing version control software (Git, Mercurial, Subversion)","Emacs (text editor),Vim (text editor),Javascript Node.js system,Pandoc (document processor)",,,,2,4,,3,1,2,1,4,,,3,,,2,5,1,4,3
Version Control / Git,Choosing a text editor,,1,,,,1,R,Python,1,,,,,,,,,1,,,,,,,"Reproducible research,Data Visualization,Different modes of data and how to handle them","Code testing / test driven development,Programming paradigms (e.g object oriented, functional),API driven development",2,1,,,,,3,,,,,,,1,,2,,,,,3,,"The data.table library for R,Statistics libraries",Pandas (data science in Python),1,2,,,,,,,,,,1,"Comparing version control software (Git, Mercurial, Subversion)",,,,,,1,,,,,,,,,,,,5,1,2,4,3
"The Bash Shell,Version Control / Git,Choosing a text editor",,1,2,3,,,,"R,Python,Javascript",,1,2,,3,,,,,,,,,,,,,"Running batch jobs on BlueBEAR,Code testing / test driven development,Data Visualization,API driven development,Reproducible research","Programming paradigms (e.g object oriented, functional),Fast databases (MongoDB, NoSQL databases),GPU programming",3,5,2,,,,,,1,4,,,,,,1,,,3,,,2,"Pandas (data science in Python),Numpy (Python numerics),Electron (Javascript, desktop apps),The data.table library for R","React.js (Javascript, web user interfaces)",4,,,2,3,1,,,1,,,,"Django (Python framework for dynamic websites),Docker containers (computing environments),Pandoc (document processor),Javascript Node.js system","Comparing version control software (Git, Mercurial, Subversion)",,,3,2,,4,,1,,,,,1,,,,3,1,5,2,4
Choosing a text editor,"Version Control / Git,The Bash Shell",,,1,2,1,,Matlab,"R,Python,C,Java",,,1,,,,,,1,2,,,4,,3,,"Reproducible research,Data Visualization,Code testing / test driven development,Continuous integration (automated code testing),Programming paradigms (e.g object oriented, functional),GPU programming",Different modes of data and how to handle them,2,1,3,4,5,,,6,,,,,,,,,,1,,,,,"Statistics libraries,The data.table library for R,Pandas (data science in Python),Numpy (Python numerics)","React.js (Javascript, web user interfaces),Electron (Javascript, desktop apps)",2,1,,4,,3,,,1,,2,,Vim (text editor),,1,,,,,,,,,,,,,,,,4,5,1,3,2
Version Control / Git,The Bash Shell,,1,,1,,,"Julia (new language for numerical computing),Python,R",Javascript,3,2,,,,1,,,,,,1,,,,,"Code testing / test driven development,Fast databases (MongoDB, NoSQL databases),API driven development,Data Visualization,Reproducible research","Continuous integration (automated code testing),GPU programming,Different modes of data and how to handle them",4,5,1,,,,,,,3,2,,,,1,,,3,2,,,,"Electron (Javascript, desktop apps),React.js (Javascript, web user interfaces)","Pandas (data science in Python),Numpy (Python numerics),Statistics libraries,The data.table library for R",,,2,,1,,4,3,,2,,1,"Django (Python framework for dynamic websites),MEAN software stack (Javascript framework for dynamic websites),Javascript Node.js system,Vim (text editor)","Comparing version control software (Git, Mercurial, Subversion),Pandoc (document processor),Docker containers (computing environments)",4,,,,,3,2,1,,,2,3,1,,,,5,1,4,3,2
The Bash Shell,,1,,,,,,"Python,Javascript,R",,3,1,,2,,,,,,,,,,,,,"Code testing / test driven development,Fast databases (MongoDB, NoSQL databases),Data Visualization,Continuous integration (automated code testing),API driven development",Reproducible research,3,,1,4,,,,,,5,2,,1,,,,,,,,,,"Statistics libraries,React.js (Javascript, web user interfaces),Pandas (data science in Python)",,,1,2,,,3,,,,,,,"Docker containers (computing environments),Javascript Node.js system",,,,,1,,2,,,,,,,,,,,4,2,1,5,3
"Choosing a text editor,Version Control / Git",,,2,1,,,,"R,Python,Javascript,Matlab",,1,2,4,3,,,,,,,,,,,,,"Reproducible research,Different modes of data and how to handle them,Data Visualization",,3,1,,,,,2,,,,,,,,,,,,,,,,"The data.table library for R,Numpy (Python numerics),Pandas (data science in Python),Statistics libraries",,1,4,,2,,3,,,,,,,"Django (Python framework for dynamic websites),Comparing version control software (Git, Mercurial, Subversion)",,,,,,2,,,1,,,,,,,,,5,1,2,4,3
"Version Control / Git,Choosing a text editor,The Bash Shell",,3,1,2,,,,"R,Python,Julia (new language for numerical computing)",,1,2,,,,3,,,,,,,,,,,"Data Visualization,Different modes of data and how to handle them,Reproducible research,Running batch jobs on BlueBEAR","Continuous integration (automated code testing),Code testing / test driven development",1,3,,,,,2,,4,,,,,2,1,,,,,,,,"Statistics libraries,The data.table library for R,Pandas (data science in Python)",,2,1,,,,3,,,,,,,"Comparing version control software (Git, Mercurial, Subversion),Vim (text editor),Emacs (text editor)",,2,3,,,1,,,,,,,,,,,,3,1,2,4,5
"Version Control / Git,The Bash Shell",Choosing a text editor,2,1,,,,1,"Python,R,Matlab,Javascript",Julia (new language for numerical computing),2,1,3,4,,,,,,,,,,1,,,"Continuous integration (automated code testing),Different modes of data and how to handle them,Code testing / test driven development,Data Visualization,Fast databases (MongoDB, NoSQL databases)","Programming paradigms (e.g object oriented, functional),Object oriented programming,API driven development,GPU programming,Running batch jobs on BlueBEAR",4,,3,1,,,2,,,,5,,,,,1,2,,4,5,3,,"Numpy (Python numerics),Statistics libraries",,,2,,1,,,,,,,,,"Docker containers (computing environments),Django (Python framework for dynamic websites)","Comparing version control software (Git, Mercurial, Subversion),MEAN software stack (Javascript framework for dynamic websites),Javascript Node.js system,Pandoc (document processor)",,,,1,,,,2,,,4,,1,3,2,,2,4,1,5,3
Version Control / Git,"Choosing a text editor,The Bash Shell",,1,,2,,1,"Python,R","Javascript,Java",2,1,,,,,,,,,,1,2,,,,"GPU programming,Reproducible research,Code testing / test driven development,Continuous integration (automated code testing),Running batch jobs on BlueBEAR","Programming paradigms (e.g object oriented, functional),Object oriented programming",,2,3,4,,,,1,5,,,,,,,1,2,,,,,,"Pandas (data science in Python),The data.table library for R,Statistics libraries",,2,3,,,,1,,,,,,,"Comparing version control software (Git, Mercurial, Subversion),Pandoc (document processor)",,,,2,,1,,,,,,,,,,,,1,5,2,3,4
,,,,,,,,"R,Fortran",Matlab,1,,,,,,,2,,,1,,,,,,"Code testing / test driven development,Continuous integration (automated code testing),API driven development","Data Visualization,GPU programming",,,1,2,,,,,,3,,1,,,,,,,2,,,,"The data.table library for R,Pandas (data science in Python),Numpy (Python numerics),Electron (Javascript, desktop apps)","React.js (Javascript, web user interfaces),Statistics libraries",1,,,3,4,2,,2,1,,,,"Pandoc (document processor),Comparing version control software (Git, Mercurial, Subversion),Django (Python framework for dynamic websites),Vim (text editor)","MEAN software stack (Javascript framework for dynamic websites),Javascript Node.js system,Docker containers (computing environments)",4,,1,,2,,,3,,,,3,,2,1,,5,4,1,2,3
Version Control / Git,,,1,,,,,"Javascript,Python",,,2,,1,,,,,,,,,,,,,"Code testing / test driven development,Programming paradigms (e.g object oriented, functional),API driven development,Continuous integration (automated code testing)",Reproducible research,,,1,4,2,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,"Django (Python framework for dynamic websites),Javascript Node.js system,Docker containers (computing environments)","MEAN software stack (Javascript framework for dynamic websites),Pandoc (document processor)",,,,3,,2,,1,,,2,,,,1,,3,4,1,5,2
"The Bash Shell,Choosing a text editor",Version Control / Git,1,,2,,1,,"Matlab,R",Python,2,,1,,,,,,,1,,,,,,,"Different modes of data and how to handle them,Programming paradigms (e.g object oriented, functional),Data Visualization",,3,,,,2,,1,,,,,,,,,,,,,,,,"The data.table library for R,Numpy (Python numerics),Pandas (data science in Python)",,1,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Control / Git,The Bash Shell,,1,,1,,,"Fortran,R,Python",Matlab,2,3,,,,,,1,,,1,,,,,,"Reproducible research,Code testing / test driven development,Continuous integration (automated code testing),Programming paradigms (e.g object oriented, functional)","Different modes of data and how to handle them,Data Visualization,Object oriented programming",,1,2,3,4,,,,,,,2,,,,,3,1,,,,,"The data.table library for R,Numpy (Python numerics)",Pandas (data science in Python),1,,,2,,,,,,,,1,"Comparing version control software (Git, Mercurial, Subversion),Emacs (text editor)",Docker containers (computing environments),,2,,,1,,,,,,,1,,,,,3,5,1,4,2
"Version Control / Git,Choosing a text editor,The Bash Shell",,3,1,2,,,,"R,Python",C,1,2,,,,,,,,,,,,,1,,"Running batch jobs on BlueBEAR,Programming paradigms (e.g object oriented, functional),Continuous integration (automated code testing)","Object oriented programming,Data Visualization",,,,3,2,,,,1,,,2,,,,,1,,,,,,The data.table library for R,Numpy (Python numerics),1,,,,,,,,,1,,,"Docker containers (computing environments),Comparing version control software (Git, Mercurial, Subversion)",,,,,1,2,,,,,,,,,,,,2,3,1,5,4
"The Bash Shell,Version Control / Git",,1,2,,,,,Python,"C,Java",,1,,,,,,,,,,,2,,1,,"Reproducible research,Data Visualization","Programming paradigms (e.g object oriented, functional),Different modes of data and how to handle them",2,1,,,,,,,,,,,,,,1,,2,,,,,Numpy (Python numerics),Pandas (data science in Python),,,,1,,,,,,,,1,Emacs (text editor),"Comparing version control software (Git, Mercurial, Subversion)",,1,,,,,,,,,,,1,,,,2,1,3,4,5
Version Control / Git,"Choosing a text editor,The Bash Shell",,1,,2,,1,Fortran,"Python,Julia (new language for numerical computing)",,,,,,,,1,,1,,,,2,,,"Running batch jobs on BlueBEAR,GPU programming,Reproducible research","Continuous integration (automated code testing),Data Visualization",,3,,,,,,2,1,,,2,,,1,,,,,,,,,"Pandas (data science in Python),Numpy (Python numerics)",,,,,,,,,,2,,1,"Vim (text editor),Docker containers (computing environments),Emacs (text editor)","Comparing version control software (Git, Mercurial, Subversion)",1,3,,2,,,,,,,,,1,,,,4,3,1,5,2
"Version Control / Git,The Bash Shell",Choosing a text editor,2,1,,,,1,"Python,C,R,Julia (new language for numerical computing),Fortran,Javascript","Matlab,Java",3,1,,6,,4,2,5,,,1,,2,,,,"Continuous integration (automated code testing),Code testing / test driven development,Programming paradigms (e.g object oriented, functional),GPU programming,Fast databases (MongoDB, NoSQL databases),Running batch jobs on BlueBEAR,Reproducible research,Object oriented programming,Data Visualization","API driven development,Different modes of data and how to handle them",9,7,2,1,3,8,,4,6,,5,,,,,,,2,,,1,,"Numpy (Python numerics),Pandas (data science in Python),The data.table library for R,Statistics libraries","React.js (Javascript, web user interfaces),Electron (Javascript, desktop apps)",3,4,,1,,2,,,1,,2,,"Comparing version control software (Git, Mercurial, Subversion),Pandoc (document processor),Django (Python framework for dynamic websites),Docker containers (computing environments),Emacs (text editor),Vim (text editor)","MEAN software stack (Javascript framework for dynamic websites),Javascript Node.js system",6,5,2,4,1,,,3,,,,,,2,1,,5,4,1,3,2
Choosing a text editor,Version Control / Git,,,1,,1,,"R,Julia (new language for numerical computing)",Fortran,1,,,,,2,,,,,,,,,,1,"Continuous integration (automated code testing),GPU programming","API driven development,Programming paradigms (e.g object oriented, functional),Different modes of data and how to handle them,Data Visualization",,,,1,,,,2,,,,4,,,,2,,3,,,1,,Pandas (data science in Python),"The data.table library for R,Numpy (Python numerics)",,,,,,1,1,,,2,,,"Pandoc (document processor),Emacs (text editor),Docker containers (computing environments),Comparing version control software (Git, Mercurial, Subversion)",Vim (text editor),,2,1,3,4,,,,1,,,,,,,,5,4,1,2,3
"Version Control / Git,The Bash Shell",Choosing a text editor,2,1,,,,1,"Javascript,Python,Java,C",Fortran,,2,,1,3,,4,,,,,,,,,1,"Programming paradigms (e.g object oriented, functional),Code testing / test driven development,Continuous integration (automated code testing),Object oriented programming,API driven development,Fast databases (MongoDB, NoSQL databases)","GPU programming,Data Visualization,Different modes of data and how to handle them",,,2,3,1,4,,,,5,6,2,,,,,,3,1,,,,"React.js (Javascript, web user interfaces),Electron (Javascript, desktop apps),Pandas (data science in Python),Numpy (Python numerics)",,,,1,4,2,3,,,,,,,"Django (Python framework for dynamic websites),Javascript Node.js system,MEAN software stack (Javascript framework for dynamic websites),Vim (text editor),Comparing version control software (Git, Mercurial, Subversion),Docker containers (computing environments)",,4,,,6,5,2,3,1,,,,,,,,,5,1,2,3,4
"Version Control / Git,The Bash Shell,Choosing a text editor",,2,1,3,,,,"R,Python,Julia (new language for numerical computing)",,1,2,,,,3,,,,,,,,,,,"Object oriented programming,Reproducible research,Data Visualization,Different modes of data and how to handle them","Fast databases (MongoDB, NoSQL databases),Running batch jobs on BlueBEAR",3,2,,,,1,4,,,,,,,,,,,,,2,,1,"The data.table library for R,Pandas (data science in Python),Numpy (Python numerics),Statistics libraries",,1,4,,3,,2,,,,,,,"Emacs (text editor),Vim (text editor),Pandoc (document processor)",,2,1,3,,,,,,,,,,,,,,3,2,4,5,1
"Version Control / Git,The Bash Shell,Choosing a text editor",,2,1,3,,,,"Matlab,Javascript",Python,,,1,2,,,,,,1,,,,,,,"Code testing / test driven development,Continuous integration (automated code testing),API driven development","Different modes of data and how to handle them,Programming paradigms (e.g object oriented, functional)",,,1,2,,,,,,3,,,,,,2,,1,,,,,"Electron (Javascript, desktop apps)","React.js (Javascript, web user interfaces)",,,,,1,,,,1,,,,"Pandoc (document processor),Vim (text editor),Emacs (text editor)","Comparing version control software (Git, Mercurial, Subversion),MEAN software stack (Javascript framework for dynamic websites)",2,3,1,,,,,,,,,,1,,2,,1,4,3,2,5
"Choosing a text editor,Version Control / Git",The Bash Shell,,2,1,1,,,"R,Python,Matlab",,1,2,3,,,,,,,,,,,,,,"Programming paradigms (e.g object oriented, functional),Data Visualization,Reproducible research",Continuous integration (automated code testing),2,3,,,1,,,,,,,,,,1,,,,,,,,"Pandas (data science in Python),Numpy (Python numerics),The data.table library for R,Statistics libraries",,3,4,,2,,1,,,,,,,Vim (text editor),,1,,,,,,,,,,,,,,,,1,3,5,4,2
Version Control / Git,,,1,,,,,R,"Python,Matlab",1,,,,,,,,,1,2,,,,,,"Data Visualization,Reproducible research","Running batch jobs on BlueBEAR,Code testing / test driven development",1,2,,,,,,,,,,,,2,,,,,,1,,,The data.table library for R,"Numpy (Python numerics),Pandas (data science in Python)",1,,,,,,,,,1,,2,,"Comparing version control software (Git, Mercurial, Subversion)",,,,,,,,,,,,,1,,,,3,2,1,4,5
"Version Control / Git,The Bash Shell",Choosing a text editor,2,1,,,,1,"Python,R,Javascript","Julia (new language for numerical computing),C",2,1,,3,,,,,,,,,,1,2,,"Programming paradigms (e.g object oriented, functional),Object oriented programming,Code testing / test driven development,Running batch jobs on BlueBEAR","Different modes of data and how to handle them,Data Visualization,Continuous integration (automated code testing),API driven development,GPU programming",,,3,,1,2,,,4,,,2,,,3,,,1,5,,4,,"Statistics libraries,Pandas (data science in Python)","React.js (Javascript, web user interfaces),Numpy (Python numerics)",,1,,,,2,,,1,2,,,"Vim (text editor),Javascript Node.js system,Comparing version control software (Git, Mercurial, Subversion)",Django (Python framework for dynamic websites),1,,,,3,2,,,,,,,,,,1,4,2,1,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bash Shell,Version Control / Git,1,,,,1,,"Python,C,R",Javascript,3,1,,,,,2,,,,,1,,,,,"Continuous integration (automated code testing),Code testing / test driven development,Data Visualization","Programming paradigms (e.g object oriented, functional),Fast databases (MongoDB, NoSQL databases),Reproducible research",3,,2,1,,,,,,,,,3,,,1,,,,,,2,"React.js (Javascript, web user interfaces),Numpy (Python numerics)",,,,1,2,,,,,,,,,"Docker containers (computing environments),Django (Python framework for dynamic websites),Vim (text editor)",,3,,,1,,,,2,,,,,,,,,1,3,2,5,4
,,,,,,,,"Julia (new language for numerical computing),C",,,,,,,1,2,,,,,,,,,,"GPU programming,Data Visualization,Continuous integration (automated code testing),Programming paradigms (e.g object oriented, functional)",,2,,,3,4,,,1,,,,,,,,,,,,,,,"Numpy (Python numerics),Pandas (data science in Python),Statistics libraries",,,3,,1,,2,,,,,,,Docker containers (computing environments),,,,,1,,,,,,,,,,,,,5,4,1,2,3
